method,test_accuracy,macro_f1,true_positive_rate,crypto_time_ms
fedavg,0.4676666666666667,0.43260806385076583,0.0,0.0
plain_srsf,0.6376666666666666,0.609124320951344,0.4166666666666667,0.0
pp_srsf,0.637,0.6086663008814007,0.4166666666666667,12.48611666666477
