method,accuracy_mean,accuracy_std,f1_mean,tpr_mean,fpr_mean
fedavg,0.5946666666666667,0.04272391992003225,0.5301548788095327,0.0,0.0
fedgt_nhat,0.662,0.07903796556086197,0.6211704285696262,0.5,0.25
fedgt_proxy,0.6593333333333333,0.06264449962553242,0.6167937234867065,0.5,0.125
pp_srsf,0.6023333333333333,0.0580201114557128,0.5462300920233297,1.0,0.0
pp_srsf_trust,0.6113333333333334,0.0767419919817914,0.56323250977866,0.6666666666666666,0.08333333333333333
