method,accuracy_mean,accuracy_std,f1_mean,f1_std,tpr_mean,fpr_mean
fedavg,0.4116666666666666,0.04428694314731301,0.3203270686469575,0.061293520725544906,0.0,0.0
fedgt_nhat,0.4996666666666667,0.01588500340992515,0.42275291999749776,0.016648288785978696,0.5,0.20833333333333334
pp_srsf,0.4163333333333334,0.06087144924620521,0.3272371195199402,0.07072804950979243,0.8333333333333334,0.041666666666666664
pp_srsf_trust,0.4506666666666666,0.02837839553839035,0.35307058530741253,0.04260010034362285,0.5,0.125
