dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,pp_srsf,sign_flip,0.4,0.5,11,0.58,1.3548836975097656,0.5343304227544513,4,0,1.0,0.0,17.040800000017953,5.033499999967717,4239760,424.5529999999462,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,sign_flip,0.4,0.5,12,0.626,1.206439697265625,0.5924439174584293,4,0,1.0,0.0,19.01789999999437,5.229700000086268,4239760,433.30550000007406,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,sign_flip,0.4,0.5,13,0.595,1.1861837463378906,0.5455077638320927,4,0,1.0,0.0,19.041299999912553,6.233800000018164,4239760,443.7950000000228,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,sign_flip,0.4,0.5,14,0.645,1.0572144165039064,0.5965361100498481,4,0,1.0,0.0,18.999499999949876,5.395399999997608,4239760,429.1098000001057,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,sign_flip,0.4,0.5,15,0.684,1.012946273803711,0.6578937351138564,4,0,1.0,0.0,16.780500000095344,5.745600000068407,4239760,426.0141999999405,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,1,0.102,2.307004150390625,0.018511796733212342,2,2,0.5,0.3333333333333333,20.258999999896332,5.8430999999927735,4239760,798.2379999999694,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,2,0.102,2.312299072265625,0.018511796733212342,3,1,0.75,0.16666666666666666,17.83829999999398,4.948000000013053,4239760,756.8624000000455,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,3,0.102,2.3331996459960935,0.018511796733212342,3,1,0.75,0.16666666666666666,19.13559999991321,5.026799999996001,4239760,741.182199999912,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,4,0.102,2.4259390869140627,0.018511796733212342,3,1,0.75,0.16666666666666666,17.273000000045613,6.069800000091163,4239760,753.9359999999533,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,5,0.102,2.4407179565429686,0.018511796733212342,4,0,1.0,0.0,19.24429999996846,5.295099999898412,4239760,767.1645000000353,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,6,0.113,2.4511758422851564,0.038569819819819814,4,0,1.0,0.0,18.62519999997403,5.6170999999949345,4239760,746.4921999999206,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,7,0.153,2.44674462890625,0.08084528617184236,4,0,1.0,0.0,18.655299999977615,6.709999999998217,4239760,748.9239000000225,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,8,0.155,2.446653015136719,0.0832404957526807,4,0,1.0,0.0,19.29870000003575,6.638300000076924,4239760,755.8890999999903,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,9,0.192,2.3943192138671874,0.06473489934771251,4,0,1.0,0.0,18.323800000075607,5.785500000001775,4239760,759.0774000000238,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,10,0.106,2.377214538574219,0.026500027051885516,4,0,1.0,0.0,18.67400000003272,6.583200000022771,4239760,765.2434999999969,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,11,0.153,2.2948858642578127,0.0871168967892221,4,0,1.0,0.0,19.947899999920082,5.311900000037895,4239760,753.7472999999864,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,12,0.192,2.21197265625,0.11008605610983972,4,0,1.0,0.0,17.181899999968664,6.311400000072354,4239760,746.9145000000026,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,13,0.366,2.1197711181640626,0.2911666742045427,4,0,1.0,0.0,21.003899999982423,5.843700000013996,4239760,768.4785000000147,2180,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf_trust,sign_flip,0.4,0.5,14,0.435,1.9749802856445313,0.37919690659283833,4,0,1.0,0.0,19.331899999997404,6.574099999966165,4239760,781.8598000000065,2180,32,600,46800,69120,1440
