dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,6,0.11,2.3160344848632812,0.01981981981981982,1,1,0.5,0.125,19.91099999997914,9.384699999998247,4239760,457.11990000000924,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,7,0.197,2.327258972167969,0.06434979494190021,1,1,0.5,0.125,20.023600000001807,10.638599999992948,4239760,469.93429999997716,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,8,0.101,2.321503479003906,0.018413855970829535,1,1,0.5,0.125,19.312700000000405,11.134499999968739,4239760,460.5563999999731,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,9,0.15,2.2721810302734373,0.0532658913915489,1,1,0.5,0.125,18.49129999999377,11.92839999998796,4239760,476.01439999999684,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,10,0.122,2.2591954956054687,0.035316023845435605,1,1,0.5,0.125,18.912000000000262,11.475500000017291,4239760,489.69499999998334,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,11,0.103,2.2861844482421874,0.021828621630949768,1,1,0.5,0.125,17.73329999997486,11.584099999993214,4239760,510.803400000043,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,12,0.159,2.2246864013671876,0.06299669512323443,1,1,0.5,0.125,17.473900000027243,10.698100000013255,4239760,490.9424999999601,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,13,0.242,2.2141907653808595,0.1570775439733922,1,1,0.5,0.125,22.48259999998936,11.713299999996707,4239760,475.3071000000091,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,14,0.399,2.0515855102539065,0.3301120750396011,1,1,0.5,0.125,19.90709999995488,9.835599999973965,4239760,470.88920000004464,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,15,0.417,2.009286865234375,0.3459292050932953,1,1,0.5,0.125,18.232900000043628,10.78780000000279,4239760,493.3249000000046,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,16,0.377,1.8590068054199218,0.31796039492099093,1,1,0.5,0.125,19.925899999975627,10.43040000001838,4239760,459.5982999999819,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,17,0.406,1.792629150390625,0.31641035734307377,1,1,0.5,0.125,19.96750000000702,10.82569999999805,4239760,455.0891999999749,2141,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,18,0.505,1.6195912170410156,0.3934100598343335,2,0,1.0,0.0,19.055900000012116,10.880000000042855,4239760,469.353999999953,2141,32,600,46800,69120,1440
