dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,6,0.105,2.3073622436523435,0.03109708830289266,0,2,0.0,0.25,20.88290000000015,12.133900000000253,4239760,464.29869999999875,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,7,0.097,2.3100469360351563,0.017684594348222425,0,2,0.0,0.25,19.671999999999912,9.321700000000988,4239760,459.99770000000063,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,8,0.175,2.31535498046875,0.05903775023293898,0,2,0.0,0.25,19.978599999999958,12.390099999999293,4239760,471.658399999999,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,9,0.175,2.3235518798828125,0.060051119337211356,0,2,0.0,0.25,20.215699999999615,12.79940000000046,4239760,506.33149999999995,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,10,0.13,2.323139953613281,0.06373726477286348,0,2,0.0,0.25,20.00359999999901,9.934200000000004,4239760,506.9067000000018,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,11,0.095,2.3551690673828123,0.017351598173515982,0,2,0.0,0.25,17.51870000000011,9.660000000000224,4239760,474.4632000000024,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,12,0.095,2.341686584472656,0.017351598173515982,0,2,0.0,0.25,19.102000000000174,12.287799999999294,4239760,465.58220000000006,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,13,0.184,2.287747314453125,0.06280942081230474,0,2,0.0,0.25,16.44020000000168,9.432600000000235,4239760,461.65940000000205,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,14,0.1,2.276244873046875,0.01818181818181818,0,2,0.0,0.25,17.725200000000996,10.765200000001585,4239760,469.000900000001,2131,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,15,0.191,2.2327772827148435,0.10141167122803921,1,1,0.5,0.125,16.70750000000254,9.540100000002383,4239760,457.2010999999989,2131,32,600,46800,69120,1440
