dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications,fedgt_estimated_malicious,fedgt_positive_tests
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,4,0.235,2.2691703491210937,0.13586796444653354,1,2,0.5,0.25,0.0,378.8990000000041,19902808,1151.840700000001,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,5,0.081,2.2427007446289062,0.014986123959296948,0,0,0.0,0.0,0.0,364.7689000000014,21173200,1131.3600000000008,2142,32,600,21173200,0,0,0,2
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,6,0.298,2.1714983825683594,0.2022894666933826,0,3,0.0,0.375,0.0,357.99769999999853,19902808,1130.4440999999983,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,7,0.254,2.1405149536132813,0.15154607554010194,1,2,0.5,0.25,0.0,379.4366999999994,19902808,1236.742300000003,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,8,0.475,1.946105682373047,0.4192340482999796,0,3,0.0,0.375,0.0,360.2066999999991,19902808,1127.980100000002,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,9,0.416,1.8567129211425781,0.3674074046086949,1,1,0.5,0.125,0.0,364.0406999999968,20326272,1143.597800000002,2142,32,600,20326272,0,0,2,5
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,10,0.411,1.779568115234375,0.3378884294697443,0,3,0.0,0.375,0.0,359.33329999999586,19902808,1132.2450999999987,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,11,0.533,1.6356315612792969,0.44850278467479887,0,3,0.0,0.375,0.0,389.06330000000366,19902808,1181.7636000000036,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,12,0.571,1.5040470886230468,0.46934246237709115,2,1,1.0,0.125,0.0,405.8404999999965,19902808,1321.1463999999964,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,13,0.601,1.317052734375,0.525385144404089,2,0,1.0,0.0,0.0,375.73640000000097,20326272,1116.8902000000003,2142,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,14,0.612,1.2941849975585937,0.550172450114909,0,3,0.0,0.375,0.0,374.0342000000041,19902808,1183.2925000000002,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,15,0.615,1.2037135009765625,0.5444568944228009,1,1,0.5,0.125,0.0,416.82080000000354,20326272,1164.1878000000006,2142,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,16,0.668,1.1749005737304687,0.6139637148355328,0,2,0.0,0.25,0.0,388.5771000000062,20326272,1217.8450999999982,2142,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,17,0.671,1.122285400390625,0.6092288542906249,1,2,0.5,0.25,0.0,369.01000000000295,19902808,1108.0399000000014,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,18,0.656,1.056965087890625,0.5985970529299002,0,2,0.0,0.25,0.0,317.768099999995,20326272,1091.5827999999976,2142,32,600,20326272,0,0,2,5
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,19,0.732,0.9027231292724609,0.7039570566385345,2,1,1.0,0.125,0.0,404.16050000000325,19902808,1190.8299999999983,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,20,0.751,0.927796875,0.7277751908775,1,2,0.5,0.25,0.0,370.4701000000057,19902808,1135.7381999999986,2142,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,1,0.095,2.3010808715820312,0.017351598173515982,1,2,0.5,0.25,0.0,366.12670000000236,19902808,1134.2529,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,2,0.17,2.2984210205078126,0.07236080084299262,1,2,0.5,0.25,0.0,364.5372000000009,19902808,1133.6042999999947,2143,32,600,19902808,0,0,3,7
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,3,0.09,2.2979680786132812,0.01651376146788991,0,2,0.0,0.25,0.0,361.77919999999375,20326272,1146.2831999999992,2143,32,600,20326272,0,0,2,6
mnist,tiny_cnn,fedgt_nhat,label_flip,0.2,0.5,4,0.165,2.293380859375,0.0588094791529906,2,0,1.0,0.0,0.0,367.0736000000048,20326272,1125.1141999999986,2143,32,600,20326272,0,0,2,6
