dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,1,0.10888888888888888,2.238256429036458,0.045467032967032965,0,0,0.0,0.0,0.0,1.26779999999993,4070800,30.500199999999644,2026
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,2,0.31333333333333335,2.1189675564236112,0.21612849020913485,0,0,0.0,0.0,0.0,0.5126999999998105,4070800,25.823200000000046,2026
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,3,0.6,1.9767437065972222,0.5715350571698169,0,0,0.0,0.0,0.0,0.4115000000002311,4070800,30.627400000000193,2026
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,4,0.7377777777777778,1.8273346625434028,0.7299065823825611,0,0,0.0,0.0,0.0,0.27099999999968816,4070800,27.628099999999822,2026
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,5,0.6688888888888889,1.6761946614583334,0.6734276350396882,0,0,0.0,0.0,0.0,0.2543999999997659,4070800,25.333599999999734,2026
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,6,0.7822222222222223,1.5150528293185763,0.747510510005553,0,0,0.0,0.0,0.0,0.23479999999986845,4070800,26.359400000000033,2026
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,7,0.8155555555555556,1.3572716606987847,0.7998961776563658,0,0,0.0,0.0,0.0,0.3856999999998223,4070800,24.090900000000026,2026
sklearn_digits,mlp,fedavg,label_flip,0.0,0.5,8,0.84,1.2186976793077258,0.8369203516527277,0,0,0.0,0.0,0.0,0.23140000000010374,4070800,24.948000000000192,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,1,0.10222222222222223,2.2584634060329862,0.018548387096774192,0,0,0.0,0.0,0.0,0.25140000000023477,4070800,26.680100000000095,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,2,0.1622222222222222,2.166742146809896,0.09938597262522349,0,0,0.0,0.0,0.0,0.24809999999986232,4070800,24.798799999999677,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,3,0.23333333333333334,2.0576572672526043,0.15664687193825044,0,0,0.0,0.0,0.0,0.3186000000003908,4070800,27.49069999999998,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,4,0.4022222222222222,1.9356144205729167,0.35362530005139164,0,0,0.0,0.0,0.0,0.22999999999973042,4070800,23.94779999999974,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,5,0.32,1.831809353298611,0.30384348078381496,0,0,0.0,0.0,0.0,0.24620000000030728,4070800,24.005600000000182,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,6,0.6133333333333333,1.6712879774305556,0.5740559348512124,0,0,0.0,0.0,0.0,0.31639999999999446,4070800,27.630100000000102,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,7,0.6422222222222222,1.5549919297960069,0.5857612788424403,0,0,0.0,0.0,0.0,0.2477999999999092,4070800,25.83309999999983,2026
sklearn_digits,mlp,fedavg,label_flip,0.2,0.5,8,0.6288888888888889,1.4602446831597222,0.5954192371150497,0,0,0.0,0.0,0.0,0.24729999999983932,4070800,28.3061,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,1,0.10888888888888888,2.238256429036458,0.045467032967032965,0,0,0.0,0.0,0.0,0.252000000000141,4070800,26.268200000000075,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,2,0.31333333333333335,2.1189675564236112,0.21612849020913485,0,0,0.0,0.0,0.0,0.25500000000011624,4070800,26.112499999999983,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,3,0.6,1.9767437065972222,0.5715350571698169,0,0,0.0,0.0,0.0,0.24880000000004898,4070800,26.501600000000014,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,4,0.7377777777777778,1.8273346625434028,0.7299065823825611,0,0,0.0,0.0,0.0,0.24060000000014625,4070800,25.703100000000312,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,5,0.6688888888888889,1.6761946614583334,0.6734276350396882,0,0,0.0,0.0,0.0,0.24680000000021352,4070800,25.911100000000076,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,6,0.7822222222222223,1.5150528293185763,0.747510510005553,0,0,0.0,0.0,0.0,0.2746000000000137,4070800,26.821500000000054,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,7,0.8155555555555556,1.3572716606987847,0.7998961776563658,0,0,0.0,0.0,0.0,0.3520999999997443,4070800,27.435099999999935,2026
sklearn_digits,mlp,fedavg,sign_flip,0.0,0.5,8,0.84,1.2186976793077258,0.8369203516527277,0,0,0.0,0.0,0.0,0.23090000000003386,4070800,25.33720000000006,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,1,0.10222222222222223,2.3547734917534724,0.018548387096774192,0,0,0.0,0.0,0.0,0.2794999999999881,4070800,29.60570000000029,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,2,0.10222222222222223,2.5771370442708332,0.018548387096774192,0,0,0.0,0.0,0.0,0.29719999999988644,4070800,30.349199999999854,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,3,0.10222222222222223,3.4050335015190973,0.018548387096774192,0,0,0.0,0.0,0.0,0.2581000000003719,4070800,25.63290000000018,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,4,0.10222222222222223,6.007643771701389,0.018548387096774192,0,0,0.0,0.0,0.0,0.25610000000009236,4070800,25.86279999999963,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,5,0.10222222222222223,13.437633463541667,0.018548387096774192,0,0,0.0,0.0,0.0,0.3166999999999476,4070800,26.215699999999842,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,6,0.10222222222222223,26.84983832465278,0.018548387096774192,0,0,0.0,0.0,0.0,0.2887000000000306,4070800,26.67810000000026,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,7,0.10222222222222223,52.440913628472224,0.018548387096774192,0,0,0.0,0.0,0.0,0.2681999999998297,4070800,25.035300000000316,2026
sklearn_digits,mlp,fedavg,sign_flip,0.2,0.5,8,0.10222222222222223,102.25664496527777,0.018548387096774192,0,0,0.0,0.0,0.0,0.29930000000000234,4070800,27.074700000000007,2026
