dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,5,0.388,2.161958435058594,0.24124513350720425,0,0,0.0,0.0,0.0,0.3195999999991983,4234640,390.01039999999955,2027
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,6,0.485,2.078711669921875,0.3804260749213449,0,0,0.0,0.0,0.0,0.264800000000065,4234640,385.58559999999886,2027
mnist,tiny_cnn,fedavg,sign_flip,0.1,0.5,1,0.096,2.300446960449219,0.017518248175182483,0,0,0.0,0.0,0.0,0.2633000000002994,4234640,391.1860000000012,2027
mnist,tiny_cnn,fedavg,sign_flip,0.1,0.5,2,0.12,2.306080627441406,0.05552298814183364,0,0,0.0,0.0,0.0,0.3971000000007052,4234640,383.3687999999995,2027
mnist,tiny_cnn,fedavg,sign_flip,0.1,0.5,3,0.104,2.342484130859375,0.01884057971014493,0,0,0.0,0.0,0.0,0.2938999999990699,4234640,388.4784999999997,2027
mnist,tiny_cnn,fedavg,sign_flip,0.1,0.5,4,0.104,2.4675213623046877,0.01884057971014493,0,0,0.0,0.0,0.0,0.2943999999995839,4234640,389.0148,2027
mnist,tiny_cnn,fedavg,sign_flip,0.1,0.5,5,0.104,2.6788531494140626,0.01884057971014493,0,0,0.0,0.0,0.0,0.2577999999999747,4234640,383.69459999999833,2027
mnist,tiny_cnn,fedavg,sign_flip,0.1,0.5,6,0.141,2.9338665771484376,0.06574390815370197,0,0,0.0,0.0,0.0,0.2825999999984674,4234640,399.9442000000002,2027
mnist,tiny_cnn,fedavg,sign_flip,0.2,0.5,1,0.068,2.3054943237304686,0.02254759194048029,0,0,0.0,0.0,0.0,0.37139999999880047,4234640,390.00629999999956,2027
mnist,tiny_cnn,fedavg,sign_flip,0.2,0.5,2,0.106,2.3159594116210935,0.01927272727272727,0,0,0.0,0.0,0.0,0.31960000000097466,4234640,389.0567000000011,2027
mnist,tiny_cnn,fedavg,sign_flip,0.2,0.5,3,0.106,2.360979736328125,0.019168173598553346,0,0,0.0,0.0,0.0,0.2608000000030586,4234640,389.1166999999989,2027
mnist,tiny_cnn,fedavg,sign_flip,0.2,0.5,4,0.106,2.575826232910156,0.019168173598553346,0,0,0.0,0.0,0.0,0.30230000000130985,4234640,390.6029999999987,2027
mnist,tiny_cnn,fedavg,sign_flip,0.2,0.5,5,0.106,3.337204345703125,0.019168173598553346,0,0,0.0,0.0,0.0,0.30639999999948486,4234640,406.0622000000009,2027
mnist,tiny_cnn,fedavg,sign_flip,0.2,0.5,6,0.106,5.405244873046875,0.019168173598553346,0,0,0.0,0.0,0.0,0.3852999999978124,4234640,388.26700000000255,2027
mnist,tiny_cnn,fedavg,sign_flip,0.3,0.5,1,0.096,2.3096390991210938,0.017518248175182483,0,0,0.0,0.0,0.0,0.27530000000197674,4234640,392.4120000000002,2027
mnist,tiny_cnn,fedavg,sign_flip,0.3,0.5,2,0.096,2.325330810546875,0.017518248175182483,0,0,0.0,0.0,0.0,0.30429999999981305,4234640,399.5236999999996,2027
mnist,tiny_cnn,fedavg,sign_flip,0.3,0.5,3,0.13,2.411078857421875,0.04242424242424243,0,0,0.0,0.0,0.0,0.33280000000246446,4234640,399.78939999999955,2027
mnist,tiny_cnn,fedavg,sign_flip,0.3,0.5,4,0.104,3.2121580810546875,0.01884057971014493,0,0,0.0,0.0,0.0,0.2974000000008914,4234640,382.6,2027
mnist,tiny_cnn,fedavg,sign_flip,0.3,0.5,5,0.104,10.194462158203125,0.01884057971014493,0,0,0.0,0.0,0.0,0.2704999999991742,4234640,394.6409000000024,2027
