dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,14,0.154,2.215330139160156,0.09194635685599542,0,0,0.0,0.0,0.0,0.35570000000006985,4234640,383.6484000000002,2029
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,15,0.124,2.1486393127441406,0.07474545129843779,0,0,0.0,0.0,0.0,0.25059999999754723,4234640,392.8296999999983,2029
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,16,0.353,2.0389312744140624,0.2869899292466962,0,0,0.0,0.0,0.0,0.511600000002943,4234640,391.3296000000024,2029
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,17,0.457,1.950031707763672,0.37451801356577846,0,0,0.0,0.0,0.0,0.3908999999993057,4234640,390.9970999999999,2029
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,18,0.361,1.8536317443847656,0.264974657425019,0,0,0.0,0.0,0.0,0.24369999999862557,4234640,391.63090000000267,2029
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,19,0.415,1.7400840759277343,0.333834519498181,0,0,0.0,0.0,0.0,0.29649999999747934,4234640,385.8770000000007,2029
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,20,0.535,1.5550905151367187,0.47166009495687894,0,0,0.0,0.0,0.0,0.26580000000109294,4234640,393.568700000003,2029
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,1,0.115,2.2996240234375,0.02062780269058296,0,0,0.0,0.0,0.0,0.31049999999765987,4234640,396.6056999999985,2029
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,2,0.115,2.2974658203125,0.02062780269058296,0,0,0.0,0.0,0.0,0.23209999999806996,4234640,400.8041999999996,2029
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,3,0.115,2.294145690917969,0.02062780269058296,0,0,0.0,0.0,0.0,0.2478000000003533,4234640,391.2909999999989,2029
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,4,0.115,2.290633544921875,0.02062780269058296,0,0,0.0,0.0,0.0,0.2741000000021643,4234640,387.34140000000036,2029
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,5,0.115,2.2905927734375,0.02062780269058296,0,0,0.0,0.0,0.0,0.30789999999925044,4234640,396.2645000000009,2029
mnist,tiny_cnn,fedavg,sign_flip,0.0,0.5,6,0.115,2.2875172729492186,0.02062780269058296,0,0,0.0,0.0,0.0,0.29119999999949187,4234640,394.36979999999977,2029
